Item,Mar-2026,Mar-2025,Dec-2025
Cash and cash equivalents,10808286,7240192,9545853
Non-pledged trading assets,73790,180036,107406
Pledged assets,141295,405965,260402
Loans and advances to customers,5453517,3360981,3429641
Investment securities,6185773,5687654,6363569
Current tax assets,91690,0,112448
Deferred tax assets,159999,199619,159999
Other assets,902212,934744,833988
Property and equipment,346692,298745,353454
Intangible assets,32880,6475,34860
Total assets,24196135,18314412,21201620
Deposits from customers,20750151,15366092,18049481
Current tax liabilities,0,38152,0
Provision on off balance sheet items,1025,1025,1025
Other liabilities,135261,164147,109883
Total liabilities,20886437,15569416,18160389
Stated capital,404895,404895,404895
Credit risk reserve,116473,33394,116473
Statutory reserve fund,867142,738450,833583
Retained earnings,1921187,1568257,1686279
Total equity,3309698,2744996,3041231
Total liabilities and equity,24196135,18314412,21201620